session_id,surface_type,t,ax_g,ay_g,az_g,vert_accel_ms2,delta_ms2,pothole_label,event_type
highway,smooth_asphalt,1750000000000,0.0198,0.0132,-1.01198,0.0949,0.0,0,normal
highway,smooth_asphalt,1750000000050,-0.0104,-0.00305,-1.08548,0.6518,0.557,0,normal
highway,smooth_asphalt,1750000000100,-0.04003,-0.02134,-1.14963,1.0278,0.376,0,normal
highway,smooth_asphalt,1750000000150,0.01596,0.02101,-1.06016,0.1178,-0.91,0,normal
highway,smooth_asphalt,1750000000200,0.02619,-0.01024,-1.08947,0.3251,0.2073,0,normal
highway,smooth_asphalt,1750000000250,-0.02247,0.0049,-0.91931,-1.0755,-1.4006,0,normal
highway,smooth_asphalt,1750000000300,-0.00221,-0.03014,-0.89849,-1.0228,0.0528,0,normal
highway,smooth_asphalt,1750000000350,-0.01754,0.01525,-0.91233,-0.7103,0.3124,0,normal
highway,smooth_asphalt,1750000000400,-0.00283,0.01603,-1.11456,1.0187,1.729,0,normal
highway,smooth_asphalt,1750000000450,0.01603,-0.02381,-1.28241,2.1326,1.1139,0,normal
highway,smooth_asphalt,1750000000500,-0.01204,-0.02677,-0.99498,-0.5484,-2.681,0,normal
highway,smooth_asphalt,1750000000550,0.0124,0.02556,-0.88071,-1.3371,-0.7887,0,normal
highway,smooth_asphalt,1750000000600,0.05642,0.00428,-0.96644,-0.3916,0.9455,0,normal
highway,smooth_asphalt,1750000000650,0.02224,0.02262,-0.90195,-0.8213,-0.4297,0,normal
highway,smooth_asphalt,1750000000700,-0.02027,-0.01673,-0.86042,-0.9866,-0.1652,0,normal
highway,smooth_asphalt,1750000000750,0.04213,0.04164,-1.04489,0.6666,1.6532,0,normal
highway,smooth_asphalt,1750000000800,-0.00213,-0.03307,-0.83027,-1.1578,-1.8244,0,normal
highway,smooth_asphalt,1750000000850,-0.05356,-0.01623,-1.11602,1.319,2.4768,0,normal
highway,smooth_asphalt,1750000000900,-0.02408,0.01795,-1.10047,0.9332,-0.3858,0,normal
highway,smooth_asphalt,1750000000950,0.00352,0.03161,-0.73083,-2.1538,-3.087,0,normal
highway,smooth_asphalt,1750000001000,-0.01348,0.00528,-1.03748,0.6826,2.8364,0,normal
highway,smooth_asphalt,1750000001050,-0.00825,-0.03398,-1.05053,0.6488,-0.0338,0,normal
highway,smooth_asphalt,1750000001100,0.03927,-0.01305,-0.93827,-0.3611,-1.0099,0,normal
highway,smooth_asphalt,1750000001150,0.00876,-0.03033,-0.90047,-0.5844,-0.2233,0,normal
highway,smooth_asphalt,1750000001200,0.03915,-0.01125,-1.04886,0.6985,1.2829,0,normal
highway,smooth_asphalt,1750000001250,0.0024,-0.08257,-0.97933,0.024,-0.6744,0,normal
highway,smooth_asphalt,1750000001300,-0.02574,0.00319,-0.89726,-0.6402,-0.6643,0,normal
highway,smooth_asphalt,1750000001350,0.03928,-0.00207,-1.11392,1.1925,1.8327,0,normal
highway,smooth_asphalt,1750000001400,-0.01288,-0.03379,-0.93156,-0.4757,-1.6681,0,normal
highway,smooth_asphalt,1750000001450,0.07103,-0.02966,-0.88315,-0.7501,-0.2744,0,normal
highway,smooth_asphalt,1750000001500,0.04337,-0.02596,-1.04271,0.6477,1.3979,0,normal
highway,smooth_asphalt,1750000001550,0.0411,0.04875,-0.89542,-0.6423,-1.29,0,normal
highway,smooth_asphalt,1750000001600,-0.06514,-0.00756,-1.04376,0.6444,1.2867,0,normal
highway,smooth_asphalt,1750000001650,0.01677,-0.03426,-1.03052,0.42,-0.2244,0,normal
highway,smooth_asphalt,1750000001700,-0.02706,-0.03126,-0.95973,-0.2206,-0.6406,0,normal
highway,smooth_asphalt,1750000001750,-0.0491,0.0075,-0.93037,-0.4073,-0.1867,0,normal
highway,smooth_asphalt,1750000001800,-0.04391,0.03161,-0.96394,-0.0599,0.3474,0,normal
highway,smooth_asphalt,1750000001850,0.03324,-0.0108,-1.30005,2.5856,2.6455,0,normal
highway,smooth_asphalt,1750000001900,0.00846,-0.03285,-0.95273,-0.6539,-3.2395,0,normal
highway,smooth_asphalt,1750000001950,0.03836,-0.03046,-0.84915,-1.3334,-0.6794,0,normal
highway,smooth_asphalt,1750000002000,-0.00468,-0.02743,-0.95954,-0.2022,1.1311,0,normal
highway,smooth_asphalt,1750000002050,-0.00196,0.02708,-0.93253,-0.378,-0.1758,0,normal
highway,smooth_asphalt,1750000002100,-0.01804,0.02934,-0.86331,-0.8432,-0.4652,0,normal
highway,smooth_asphalt,1750000002150,-0.00381,0.06571,-0.99737,0.3844,1.2276,0,normal
highway,smooth_asphalt,1750000002200,-0.02398,0.03577,-0.97437,0.1259,-0.2585,0,normal
highway,smooth_asphalt,1750000002250,-0.01307,-0.03617,-0.89838,-0.5016,-0.6275,0,normal
highway,smooth_asphalt,1750000002300,0.01969,0.05974,-1.13006,1.4255,1.9271,0,normal
highway,smooth_asphalt,1750000002350,0.0172,0.06201,-0.87467,-0.8591,-2.2846,0,normal
highway,smooth_asphalt,1750000002400,-0.00589,-0.03294,-1.00176,0.2952,1.1543,0,normal
highway,smooth_asphalt,1750000002450,-0.01263,0.05129,-0.73481,-1.8458,-2.1409,0,normal
highway,smooth_asphalt,1750000002500,0.03951,0.00691,-1.14261,1.7172,3.5629,0,normal
highway,smooth_asphalt,1750000002550,0.00946,-0.03086,-1.08683,0.933,-0.7841,0,normal
highway,smooth_asphalt,1750000002600,-0.06972,0.01133,-0.92974,-0.4782,-1.4113,0,normal
highway,smooth_asphalt,1750000002650,0.0314,0.05328,-0.97598,-0.0179,0.4603,0,normal
highway,smooth_asphalt,1750000002700,-0.00207,-0.01382,-1.00017,0.1676,0.1855,0,normal
highway,smooth_asphalt,1750000002750,-0.01643,0.01968,-1.00556,0.1801,0.0124,0,normal
highway,smooth_asphalt,1750000002800,0.00502,-0.00509,-0.97267,-0.1167,-0.2967,0,normal
highway,smooth_asphalt,1750000002850,0.03442,0.00229,-1.0885,0.8179,0.9346,0,normal
highway,smooth_asphalt,1750000002900,-0.05468,-0.01564,-0.84775,-1.2332,-2.0511,0,normal
highway,smooth_asphalt,1750000002950,0.01838,0.03539,-1.08834,0.9016,2.1347,0,normal
